order_id,customer,city,category,amount,status,delivery_days,rating
2001,Дарья Мельникова,Москва,tech,3490,paid,2,5
2002,Илья Воронов,Казань,books,990,paid,5,4
2003,Полина Жукова,Самара,office,650,paid,4,4
2004,Артур Беляев,Москва,home,2290,paid,3,5
2005,Елена Фомина,Санкт-Петербург,tech,4890,cancelled,0,0
2006,Кирилл Громов,Казань,home,1750,paid,6,3
2007,Валерия Тихонова,Москва,books,1350,paid,2,5
2008,Олег Комаров,Самара,tech,5790,paid,3,4
2009,Анастасия Савельева,Санкт-Петербург,office,870,paid,4,4
2010,Глеб Макаров,Москва,tech,2600,paid,1,5
2011,Марина Алексеева,Казань,office,540,cancelled,0,0
2012,Степан Захаров,Самара,home,1980,paid,5,4
2013,Ксения Миронова,Москва,tech,7200,paid,2,5
2014,Евгений Романов,Санкт-Петербург,books,1480,paid,3,4
2015,Людмила Баранова,Казань,tech,3150,paid,4,4
2016,Матвей Соловьёв,Москва,office,760,paid,3,3
2017,Вероника Власова,Самара,books,1120,paid,6,5
2018,Денис Куликов,Санкт-Петербург,home,2840,cancelled,0,0
2019,Татьяна Фролова,Москва,home,1940,paid,2,4
2020,Павел Казаков,Казань,tech,4250,paid,3,5
2021,Арина Маслова,Самара,office,920,paid,4,4
2022,Владимир Гусев,Москва,books,1680,paid,5,4
2023,Маргарита Орехова,Санкт-Петербург,tech,5350,paid,2,5
2024,Антон Быков,Казань,home,2050,paid,4,3
2025,Нина Данилова,Москва,office,610,cancelled,0,0
2026,Ярослав Крылов,Самара,tech,3800,paid,3,4
2027,Алёна Зайцева,Санкт-Петербург,books,1250,paid,5,5
2028,Борис Мартынов,Москва,home,2470,paid,2,4
2029,Оксана Котова,Казань,office,830,paid,6,4
2030,Фёдор Суворов,Самара,tech,6400,paid,1,5
