order_id,customer,city,category,amount,status,delivery_days,rating
1001,Анна Смирнова,Москва,books,1250,paid,2,5
1002,Иван Петров,Казань,office,780,paid,4,4
1003,Ольга Иванова,Москва,tech,4590,paid,1,5
1004,Пётр Сидоров,Санкт-Петербург,home,2100,cancelled,0,0
1005,Мария Орлова,Москва,office,980,paid,3,4
1006,Алексей Волков,Казань,tech,3200,paid,5,4
1007,Екатерина Белова,Санкт-Петербург,books,1450,paid,2,5
1008,Сергей Морозов,Москва,home,2750,paid,6,3
1009,Ирина Павлова,Томск,office,640,paid,4,4
1010,Дмитрий Кузнецов,Москва,tech,5100,cancelled,0,0
1011,Наталья Соколова,Казань,home,1890,paid,3,5
1012,Андрей Лебедев,Санкт-Петербург,tech,3990,paid,2,4
1013,Виктория Новикова,Москва,books,830,paid,5,4
1014,Михаил Фёдоров,Томск,home,2400,paid,7,3
1015,Алина Попова,Казань,office,520,cancelled,0,0
1016,Роман Егоров,Москва,tech,2890,paid,2,5
1017,Юлия Козлова,Санкт-Петербург,office,1100,paid,3,4
1018,Никита Степанов,Москва,books,1750,paid,4,5
1019,Софья Николаева,Казань,tech,6200,paid,2,5
1020,Максим Орлов,Томск,home,1530,paid,6,4
